id,created_at,error_code,error_message,stack_trace,error_severity,user_id,session_id,screen_stack,error_context,retry_count,sync_status,resolved_at,resolution_notes,auto_resolved
06db50e4-a583-41cc-9b24-93b3fa050d65,2026-01-24 16:53:22.102778+00,ERRDB001,"RPC batch save failed: duplicate key value violates unique constraint ""entries_user_id_entry_date_key""","#0      SupabaseSyncService.batchSaveEntry (package:diaryapp/services/sync/supabase_sync_service.dart:563:34)
<asynchronous suspension>
#1      EntryNotifier._executeBatchSave (package:diaryapp/providers/entry_provider.dart:499:23)
<asynchronous suspension>
",HIGH,f0bfcdff-b74c-4765-ab1e-c15b4aaae0b8,1769273601627_801,"{""current_screen"": ""Unknown"", ""screen_history"": [], ""navigation_depth"": 0}","{""entry_id"": ""982fc765-2c7f-40bc-a1ff-69dcd4b9191e"", ""is_debug"": true, ""platform"": ""android"", ""operation"": ""batch_save_entry_rpc"", ""timestamp"": ""2026-01-24T22:23:21.627547"", ""error_code"": ""ERRDB001"", ""app_version"": ""1.0.0"", ""device_info"": {""version"": ""X6873-15.1.2.131SP10(IN001PF001AZ)"", ""is_debug"": true, ""platform"": ""android""}, ""sync_status"": ""unknown"", ""rpc_response"": {""success"": false, ""error_code"": ""ERRDB001"", ""error_message"": ""duplicate key value violates unique constraint \""entries_user_id_entry_date_key\""""}, ""screen_stack"": {""current_screen"": ""Unknown"", ""screen_history"": [], ""navigation_depth"": 0}, ""user_actions"": [""app_started"", ""user_interaction""], ""error_message"": ""RPC batch save failed: duplicate key value violates unique constraint \""entries_user_id_entry_date_key\"""", ""network_status"": ""unknown"", ""platform_version"": ""X6873-15.1.2.131SP10(IN001PF001AZ)""}",0,unknown,,,false
0f85e44b-356f-432f-b7fd-965707329485,2026-01-24 16:51:25.863771+00,ERRSYS021,Sync status error: ERRSYS200: Batch save failed,"#0      SyncStatusNotifier.setError (package:diaryapp/providers/sync_status_provider.dart:57:30)
#1      EntryNotifier._executeBatchSave (package:diaryapp/providers/entry_provider.dart:528:14)
<asynchronous suspension>
",MEDIUM,f0bfcdff-b74c-4765-ab1e-c15b4aaae0b8,1769273485351_42,"{""current_screen"": ""Unknown"", ""screen_history"": [], ""navigation_depth"": 0}","{""is_debug"": true, ""platform"": ""android"", ""timestamp"": ""2026-01-24T22:21:25.350756"", ""error_code"": ""ERRSYS021"", ""error_time"": ""2026-01-24T22:21:25.350169"", ""app_version"": ""1.0.0"", ""device_info"": {""version"": ""X6873-15.1.2.131SP10(IN001PF001AZ)"", ""is_debug"": true, ""platform"": ""android""}, ""sync_status"": ""syncing"", ""screen_stack"": {""current_screen"": ""Unknown"", ""screen_history"": [], ""navigation_depth"": 0}, ""user_actions"": [""app_started"", ""user_interaction""], ""error_message"": ""ERRSYS200: Batch save failed"", ""network_status"": ""unknown"", ""platform_version"": ""X6873-15.1.2.131SP10(IN001PF001AZ)""}",0,unknown,,,false
17971960-ea6d-41b4-8046-4c6c267703d7,2026-01-24 16:49:39.672168+00,ERRSYS101,"Entry sync failed: PostgrestException(message: duplicate key value violates unique constraint ""entries_user_id_entry_date_key"", code: 23505, details: Conflict, hint: null)","#0      SupabaseSyncService.syncEntry (package:diaryapp/services/sync/supabase_sync_service.dart:20:32)
<asynchronous suspension>
#1      SyncWorker.processSyncQueue (package:diaryapp/services/sync/sync_worker.dart:61:27)
<asynchronous suspension>
#2      _SplashScreenState._initializeApp (package:diaryapp/screens/splash_screen.dart:224:7)
<asynchronous suspension>
",HIGH,f0bfcdff-b74c-4765-ab1e-c15b4aaae0b8,1769273379308_898,"{""current_screen"": ""Unknown"", ""screen_history"": [], ""navigation_depth"": 0}","{""user_id"": ""f0bfcdff-b74c-4765-ab1e-c15b4aaae0b8"", ""entry_id"": ""982fc765-2c7f-40bc-a1ff-69dcd4b9191e"", ""is_debug"": true, ""platform"": ""android"", ""operation"": ""sync_entry"", ""timestamp"": ""2026-01-24T22:19:39.308722"", ""entry_date"": ""2026-01-24T00:00:00.000"", ""error_code"": ""ERRSYS101"", ""app_version"": ""1.0.0"", ""device_info"": {""version"": ""X6873-15.1.2.131SP10(IN001PF001AZ)"", ""is_debug"": true, ""platform"": ""android""}, ""sync_status"": ""unknown"", ""screen_stack"": {""current_screen"": ""Unknown"", ""screen_history"": [], ""navigation_depth"": 0}, ""user_actions"": [""app_started"", ""user_interaction""], ""error_message"": ""Entry sync failed: PostgrestException(message: duplicate key value violates unique constraint \""entries_user_id_entry_date_key\"", code: 23505, details: Conflict, hint: null)"", ""network_status"": ""unknown"", ""platform_version"": ""X6873-15.1.2.131SP10(IN001PF001AZ)""}",0,unknown,,,false
1a66dfe0-1840-4d91-88dc-d5857185997f,2026-01-24 16:51:25.521734+00,ERRDB001,"RPC batch save failed: duplicate key value violates unique constraint ""entries_user_id_entry_date_key""","#0      SupabaseSyncService.batchSaveEntry (package:diaryapp/services/sync/supabase_sync_service.dart:563:34)
<asynchronous suspension>
#1      EntryNotifier._executeBatchSave (package:diaryapp/providers/entry_provider.dart:499:23)
<asynchronous suspension>
",HIGH,f0bfcdff-b74c-4765-ab1e-c15b4aaae0b8,1769273485146_484,"{""current_screen"": ""Unknown"", ""screen_history"": [], ""navigation_depth"": 0}","{""entry_id"": ""982fc765-2c7f-40bc-a1ff-69dcd4b9191e"", ""is_debug"": true, ""platform"": ""android"", ""operation"": ""batch_save_entry_rpc"", ""timestamp"": ""2026-01-24T22:21:25.146172"", ""error_code"": ""ERRDB001"", ""app_version"": ""1.0.0"", ""device_info"": {""version"": ""X6873-15.1.2.131SP10(IN001PF001AZ)"", ""is_debug"": true, ""platform"": ""android""}, ""sync_status"": ""unknown"", ""rpc_response"": {""success"": false, ""error_code"": ""ERRDB001"", ""error_message"": ""duplicate key value violates unique constraint \""entries_user_id_entry_date_key\""""}, ""screen_stack"": {""current_screen"": ""Unknown"", ""screen_history"": [], ""navigation_depth"": 0}, ""user_actions"": [""app_started"", ""user_interaction""], ""error_message"": ""RPC batch save failed: duplicate key value violates unique constraint \""entries_user_id_entry_date_key\"""", ""network_status"": ""unknown"", ""platform_version"": ""X6873-15.1.2.131SP10(IN001PF001AZ)""}",0,unknown,,,false
5c2adf8b-f684-4ccf-a807-eab76a94fa36,2026-01-24 16:53:21.589276+00,ERRDB001,"duplicate key value violates unique constraint ""entries_user_id_entry_date_key""","23505 | duplicate key value violates unique constraint ""entries_user_id_entry_date_key""",HIGH,,,,"{""entry_id"": ""982fc765-2c7f-40bc-a1ff-69dcd4b9191e"", ""function"": ""batch_save_entry""}",0,,,,false
5e59a6f2-9fa1-4557-954b-c681becf91fc,2026-01-24 16:51:25.296879+00,ERRDB001,"duplicate key value violates unique constraint ""entries_user_id_entry_date_key""","23505 | duplicate key value violates unique constraint ""entries_user_id_entry_date_key""",HIGH,,,,"{""entry_id"": ""982fc765-2c7f-40bc-a1ff-69dcd4b9191e"", ""function"": ""batch_save_entry""}",0,,,,false
75c84b64-e5b3-4017-a6da-b2a1d1f6eb88,2026-01-24 17:05:22.427568+00,ERRSYS021,Sync status error: ERRSYS200: Batch save failed,"#0      SyncStatusNotifier.setError (package:diaryapp/providers/sync_status_provider.dart:57:30)
#1      EntryNotifier._executeBatchSave (package:diaryapp/providers/entry_provider.dart:528:14)
<asynchronous suspension>
",MEDIUM,f0bfcdff-b74c-4765-ab1e-c15b4aaae0b8,1769274322017_158,"{""current_screen"": ""Unknown"", ""screen_history"": [], ""navigation_depth"": 0}","{""is_debug"": true, ""platform"": ""android"", ""timestamp"": ""2026-01-24T22:35:22.016991"", ""error_code"": ""ERRSYS021"", ""error_time"": ""2026-01-24T22:35:22.016832"", ""app_version"": ""1.0.0"", ""device_info"": {""version"": ""X6873-15.1.2.131SP10(IN001PF001AZ)"", ""is_debug"": true, ""platform"": ""android""}, ""sync_status"": ""error"", ""screen_stack"": {""current_screen"": ""Unknown"", ""screen_history"": [], ""navigation_depth"": 0}, ""user_actions"": [""app_started"", ""user_interaction""], ""error_message"": ""ERRSYS200: Batch save failed"", ""network_status"": ""unknown"", ""platform_version"": ""X6873-15.1.2.131SP10(IN001PF001AZ)""}",0,unknown,,,false
7f769381-08b9-4c0e-b437-b45358cef1f2,2026-01-24 16:53:29.896094+00,ERRDB001,"RPC batch save failed: duplicate key value violates unique constraint ""entries_user_id_entry_date_key""","#0      SupabaseSyncService.batchSaveEntry (package:diaryapp/services/sync/supabase_sync_service.dart:563:34)
<asynchronous suspension>
#1      EntryNotifier._executeBatchSave (package:diaryapp/providers/entry_provider.dart:499:23)
<asynchronous suspension>
",HIGH,f0bfcdff-b74c-4765-ab1e-c15b4aaae0b8,1769273609479_677,"{""current_screen"": ""Unknown"", ""screen_history"": [], ""navigation_depth"": 0}","{""entry_id"": ""982fc765-2c7f-40bc-a1ff-69dcd4b9191e"", ""is_debug"": true, ""platform"": ""android"", ""operation"": ""batch_save_entry_rpc"", ""timestamp"": ""2026-01-24T22:23:29.479176"", ""error_code"": ""ERRDB001"", ""app_version"": ""1.0.0"", ""device_info"": {""version"": ""X6873-15.1.2.131SP10(IN001PF001AZ)"", ""is_debug"": true, ""platform"": ""android""}, ""sync_status"": ""unknown"", ""rpc_response"": {""success"": false, ""error_code"": ""ERRDB001"", ""error_message"": ""duplicate key value violates unique constraint \""entries_user_id_entry_date_key\""""}, ""screen_stack"": {""current_screen"": ""Unknown"", ""screen_history"": [], ""navigation_depth"": 0}, ""user_actions"": [""app_started"", ""user_interaction""], ""error_message"": ""RPC batch save failed: duplicate key value violates unique constraint \""entries_user_id_entry_date_key\"""", ""network_status"": ""unknown"", ""platform_version"": ""X6873-15.1.2.131SP10(IN001PF001AZ)""}",0,unknown,,,false
800dd1ce-41c6-4d8f-82be-8f3e74a48cbe,2026-01-24 16:53:22.710378+00,ERRSYS021,Sync status error: ERRSYS200: Batch save failed,"#0      SyncStatusNotifier.setError (package:diaryapp/providers/sync_status_provider.dart:57:30)
#1      EntryNotifier._executeBatchSave (package:diaryapp/providers/entry_provider.dart:528:14)
<asynchronous suspension>
",MEDIUM,f0bfcdff-b74c-4765-ab1e-c15b4aaae0b8,1769273602135_383,"{""current_screen"": ""Unknown"", ""screen_history"": [], ""navigation_depth"": 0}","{""is_debug"": true, ""platform"": ""android"", ""timestamp"": ""2026-01-24T22:23:22.135126"", ""error_code"": ""ERRSYS021"", ""error_time"": ""2026-01-24T22:23:22.134978"", ""app_version"": ""1.0.0"", ""device_info"": {""version"": ""X6873-15.1.2.131SP10(IN001PF001AZ)"", ""is_debug"": true, ""platform"": ""android""}, ""sync_status"": ""syncing"", ""screen_stack"": {""current_screen"": ""Unknown"", ""screen_history"": [], ""navigation_depth"": 0}, ""user_actions"": [""app_started"", ""user_interaction""], ""error_message"": ""ERRSYS200: Batch save failed"", ""network_status"": ""unknown"", ""platform_version"": ""X6873-15.1.2.131SP10(IN001PF001AZ)""}",0,unknown,,,false
8999d998-973f-43dc-acbd-a291ddac2fa5,2026-01-24 17:05:21.789887+00,ERRDB001,"duplicate key value violates unique constraint ""entries_user_id_entry_date_key""","23505 | duplicate key value violates unique constraint ""entries_user_id_entry_date_key""",HIGH,,,,"{""entry_id"": ""982fc765-2c7f-40bc-a1ff-69dcd4b9191e"", ""function"": ""batch_save_entry""}",0,,,,false
