event_message,id,identifier,method,path,search,status_code,timestamp
POST | 200 | 223.185.33.160 | 9bf8831a2d176d2f | https://foqoterfgxoiwoxvuxqi.supabase.co/rest/v1/rpc/batch_save_entry | Dart/3.9 (dart:io),be965472-4989-4b04-833e-06d44443c598,foqoterfgxoiwoxvuxqi,POST,/rest/v1/rpc/batch_save_entry,null,200,1768680795231000
GET | 200 | 223.185.33.160 | 9bf883169f4d6d2f | https://foqoterfgxoiwoxvuxqi.supabase.co/rest/v1/entries?select=*&user_id=eq.f0bfcdff-b74c-4765-ab1e-c15b4aaae0b8&entry_date=eq.2026-01-18 | Dart/3.9 (dart:io),62298293-11cf-4ba2-8ead-e41e7e98f60e,foqoterfgxoiwoxvuxqi,GET,/rest/v1/entries,?select=*&user_id=eq.f0bfcdff-b74c-4765-ab1e-c15b4aaae0b8&entry_date=eq.2026-01-18,200,1768680794661000
GET | 200 | 223.185.33.160 | 9bf882e0fbdc6d2f | https://foqoterfgxoiwoxvuxqi.supabase.co/rest/v1/entries?select=*&user_id=eq.f0bfcdff-b74c-4765-ab1e-c15b4aaae0b8&entry_date=eq.2026-01-18 | Dart/3.9 (dart:io),d890bdc3-3930-4378-ba38-fcf41eb4b629,foqoterfgxoiwoxvuxqi,GET,/rest/v1/entries,?select=*&user_id=eq.f0bfcdff-b74c-4765-ab1e-c15b4aaae0b8&entry_date=eq.2026-01-18,200,1768680786077000
GET | 200 | 223.185.33.160 | 9bf882da79886d2f | https://foqoterfgxoiwoxvuxqi.supabase.co/rest/v1/entries?select=*&user_id=eq.f0bfcdff-b74c-4765-ab1e-c15b4aaae0b8&entry_date=eq.2026-01-18 | Dart/3.9 (dart:io),141584c7-79b6-4d4d-be85-033da0f5953e,foqoterfgxoiwoxvuxqi,GET,/rest/v1/entries,?select=*&user_id=eq.f0bfcdff-b74c-4765-ab1e-c15b4aaae0b8&entry_date=eq.2026-01-18,200,1768680785044000
GET | 200 | 18.141.205.178 | 9bf880eadc819d6f | https://foqoterfgxoiwoxvuxqi.supabase.co/auth/v1/health | @supabase-infra/mgmt-api/b6fcb46,99e4551c-7abe-488d-a76e-511139e22f24,foqoterfgxoiwoxvuxqi,GET,/auth/v1/health,null,200,1768680705744000
GET | 200 | 223.185.33.160 | 9bf87e920ac9bcff | https://foqoterfgxoiwoxvuxqi.supabase.co/rest/v1/entries?select=*&user_id=eq.f0bfcdff-b74c-4765-ab1e-c15b4aaae0b8&entry_date=eq.2026-01-18 | Dart/3.9 (dart:io),7102bbff-2477-468b-a2a3-0e42bd5ee9d7,foqoterfgxoiwoxvuxqi,GET,/rest/v1/entries,?select=*&user_id=eq.f0bfcdff-b74c-4765-ab1e-c15b4aaae0b8&entry_date=eq.2026-01-18,200,1768680609609000
GET | 200 | 223.185.33.160 | 9bf87e906833bcff | https://foqoterfgxoiwoxvuxqi.supabase.co/rest/v1/entries?select=*&user_id=eq.f0bfcdff-b74c-4765-ab1e-c15b4aaae0b8&entry_date=eq.2026-01-18 | Dart/3.9 (dart:io),5f00f96c-b19b-4172-9c27-3bc13991c901,foqoterfgxoiwoxvuxqi,GET,/rest/v1/entries,?select=*&user_id=eq.f0bfcdff-b74c-4765-ab1e-c15b4aaae0b8&entry_date=eq.2026-01-18,200,1768680609349000
POST | 200 | 223.185.33.160 | 9bf87e713800bcff | https://foqoterfgxoiwoxvuxqi.supabase.co/rest/v1/rpc/batch_save_entry | Dart/3.9 (dart:io),b4fe583a-2614-4458-8a84-389c7539aefe,foqoterfgxoiwoxvuxqi,POST,/rest/v1/rpc/batch_save_entry,null,200,1768680604361000
GET | 200 | 223.185.33.160 | 9bf87e6f8d4ebcff | https://foqoterfgxoiwoxvuxqi.supabase.co/rest/v1/entries?select=*&user_id=eq.f0bfcdff-b74c-4765-ab1e-c15b4aaae0b8&entry_date=eq.2026-01-18 | Dart/3.9 (dart:io),70c7aba0-5d33-4777-af7f-d45663e8f2cf,foqoterfgxoiwoxvuxqi,GET,/rest/v1/entries,?select=*&user_id=eq.f0bfcdff-b74c-4765-ab1e-c15b4aaae0b8&entry_date=eq.2026-01-18,200,1768680604093000
POST | 200 | 52.66.233.63 | 9bf87e5b29e2bdd5 | https://foqoterfgxoiwoxvuxqi.supabase.co/rest/v1/rpc/process_analysis_queue_batch | Deno/2.1.4 (variant; SupabaseEdgeRuntime/1.69.25),cc3e4055-87fe-419d-9e08-59dd5cdaa9e0,foqoterfgxoiwoxvuxqi,POST,/rest/v1/rpc/process_analysis_queue_batch,null,200,1768680600835000
POST | 200 | 223.185.33.160 | 9bf87e52dec721dd | https://foqoterfgxoiwoxvuxqi.supabase.co/rest/v1/streaks | Dart/3.9 (dart:io),764e7f0d-1d78-43b3-847e-7ebcbfa07c64,foqoterfgxoiwoxvuxqi,POST,/rest/v1/streaks,null,200,1768680599504000
