#,Error Code,Severity,Error Message,File Location
1,ERRUI002,MEDIUM,"Failed to load month navigation: ${error.toString()}",lib/screens/analytics_screen.dart:246
2,ERRUI003,MEDIUM,"Failed to load monthly content: ${error.toString()}",lib/screens/analytics_screen.dart:601
3,ERRUI003,MEDIUM,"Failed to build monthly content: ${e.toString()}",lib/screens/analytics_screen.dart:651
4,ERRSYS125,MEDIUM,"Load user tickets failed: ${e.toString()}",lib/screens/my_tickets_screen.dart:51
5,ERRSYS124,MEDIUM,"Help support screen error: ${e.toString()}",lib/screens/help_support_screen.dart:84
6,ERRSYS093,HIGH,"Current PIN validation failed: ${e.toString()}",lib/screens/change_pin_screen.dart:322
7,ERRSYS094,HIGH,"PIN change failed: ${e.toString()}",lib/screens/change_pin_screen.dart:379
8,ERRSYS094,HIGH,"Failed to load security questions: ${e.toString()}",lib/screens/pin_recovery_screen.dart:56
9,ERRSYS095,HIGH,"Security answers verification failed: ${e.toString()}",lib/screens/pin_recovery_screen.dart:624
10,ERRSYS096,HIGH,"PIN reset failed: ${e.toString()}",lib/screens/pin_recovery_screen.dart:696
11,ERRSYS092,HIGH,"PIN confirmation validation failed: ${e.toString()}",lib/screens/pin_setup_screen.dart:340
12,ERRSYS091,HIGH,"PIN entry processing failed: ${e.toString()}",lib/screens/pin_lock_screen.dart:179
13,ERRSYS170,MEDIUM,"Prefetch 7 days failed in splash screen: ${e.toString()}",lib/screens/splash_screen.dart:154
14,ERRSYS171,MEDIUM,"Prefetch today's data failed in splash screen: ${e.toString()}",lib/screens/splash_screen.dart:185
15,ERRSYS093,HIGH,"Security questions save failed: ${e.toString()}",lib/screens/security_questions_screen.dart:403
16,ERRAUTH001,MEDIUM,"Registration error: ${e.toString()}",lib/screens/register_screen.dart:122
17,ERRSYS168,MEDIUM,"Failed to clear user data during logout: ${e.toString()}",lib/screens/profile_screen.dart:556
18,ERRSYS169,LOW,"Failed to set data fetch flag during logout: ${e.toString()}",lib/screens/profile_screen.dart:574
19,ERRAUTH041,MEDIUM,"Logout failed: ${e.toString()}",lib/screens/profile_screen.dart:630
20,ERRSYS183,LOW,"Failed to set data fetch flag after login: ${e.toString()}",lib/screens/login_screen.dart:55
21,ERRAUTH002,MEDIUM,"Login error: ${e.toString()}",lib/screens/login_screen.dart:112
22,ERRSYS184,HIGH,"Prefetch 7 days failed in HomeScreen after login (non-blocking): ${e.toString()}",lib/screens/home_screen.dart:139
23,ERRSYS185,HIGH,"Prefetch flag check or run failed in HomeScreen: ${e.toString()}",lib/screens/home_screen.dart:158
24,ERRSYS031,LOW,"Notification service initialization failed: ${e.toString()}",lib/services/notification_service.dart:383
25,ERRSYS059,MEDIUM,"Failed to create notification channel: ${e.toString()}",lib/services/notification_service.dart:420
